StationCode,Lat,Lon,WaterLevel_m_bgl,Datetime
70808,14.56304,76.19917,16.85,Post-monsoon_2016
130104,13.63739,77.96545,7.68,Post-monsoon_2017
20113,16.6889,75.21833,4.35,Post-monsoon_2017
340422,25.73389,79.89333,7.8,Post-monsoon_2018
110612,28.9075,77.42167,14.25,Post-monsoon_2018
W170100074463001,16.985949,74.762832,9.0,Post-monsoon_2018
400110,25.345,78.52472,7.9,Post-monsoon_2018
400720,25.27931,79.12117,8.95,Post-monsoon_2018
10802,12.61042,77.52828,5.77,Post-monsoon_2018
220219,25.2775,81.17833,5.6,Post-monsoon_2018
10813,12.44723,77.32294,12.75,Post-monsoon_2018
CHHAT028-OW,24.80214,79.49575,5.0,Post-monsoon_2019
HP II KCH 002,23.14,69.95,89.45,Post-monsoon_2019
Tikm002-PZ,25.3594,78.83853,7.2,Post-monsoon_2019
W243510071560001,24.58611,71.93333,72.94,Post-monsoon_2019
Jh_29.5454_74.9331,29.5454,74.9331,39.72,Post-monsoon_2019
W230450069354001,23.08056,69.59444,44.44,Post-monsoon_2019
Kh_29.6783_74.8537,29.6783,74.8537,15.78,Post-monsoon_2019
W270047071270001,27.0131,71.45,54.8,Post-monsoon_2019
Bu_28.389_76.177,28.3897,76.1778,40.0,Post-monsoon_2019
La_28.033_77.187,28.0339,77.1875,8.64,Post-monsoon_2019
W230750072223401,23.13981,72.37944,103.5,Post-monsoon_2019
91407,15.6208,75.6791,5.57,Post-monsoon_2019
W264539076201801,26.7608,76.3383,39.1,Post-monsoon_2019
W194045076164001,19.679167,76.277778,8.7,Post-monsoon_2019
150201HP,11.788,76.6286,16.51,Post-monsoon_2019
W232826072171603,23.46659,72.29717,3.89,Post-monsoon_2019
G_1_BK_096,24.06,72.52,53.6,Post-monsoon_2020
340204,25.91361,80.21583,20.35,Post-monsoon_2020
G_1_BK_090,24.4975,71.81444,49.3,Post-monsoon_2020
340209,25.83,79.9475,20.95,Post-monsoon_2020
11011D,13.2186,77.3019,22.8,Post-monsoon_2020
510114,25.40639,79.46444,10.05,Post-monsoon_2020
220401,25.34889,81.03056,2.65,Post-monsoon_2020
550908,29.037,77.759,21.94,Post-monsoon_2020
220417,25.33194,80.84528,8.3,Post-monsoon_2020
BKPZ-072,24.52513,71.86325,52.2,Post-monsoon_2020
340404,25.661,79.844,9.27,Post-monsoon_2020
